address,"latitude, longitude"
"2 3rd Pl, Long Beach, California, 90802","(33.76544501342133, -118.17950899627968)"
"721 E I St, Wilmington, California, 90744","(33.78166701355096, -118.25435696088446)"
"Gilson Ave, North Hollywood, California, 91606","(34.1883793839928, -118.41080319812136)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Mountain View Drive, Palmdale, Los Angeles County, California, 93552, United States of America","(34.5437582, -118.0400128)"
"Main Street, Santa Monica, Los Angeles County, California, CA 90401, United States of America","(34.0119709, -118.4927113)"
"Lewis Road, Agoura Hills, Los Angeles County, California, 91301, United States of America","(34.1467348, -118.7445451)"
"Pioneer Ct, Alameda, California, 94501","(37.78078504269048, -122.27357491956724)"
"9230 Los Angeles St, Bellflower, California, 90706","(33.88693701191197, -118.13716898585538)"
"Washington Street, Diamond Bar, Los Angeles County, California, 91765, United States of America","(34.0065789, -117.843027)"
"201 N Ridgewood Pl, Los Angeles, California, 90004","(34.07469901911668, -118.3148720386973)"
"43rd Street, El Segundo, Los Angeles County, California, 90266, United States of America","(33.9047326, -118.4196004)"
"Manchester Boulevard, Florence, LA, Los Angeles County, California, 90037, United States of America","(33.9601388, -118.2780149)"
"33rd Street, Santa Monica, Los Angeles County, California, 90064-1508, United States of America","(34.0243899, -118.4532237)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"CA-27, Topanga, California, 90290","(34.07051216229405, -118.58780640011616)"
"North La Brea Avenue, Whitley Heights Historic District, LA, Los Angeles County, California, 90028, United States of America","(34.0965017, -118.3441219)"
"Worth Ave, La Habra, California, 90631","(33.93562004851904, -117.97169492019884)"
"Jackson St, Los Angeles, California, 90012","(34.050990874642, -118.23256666313942)"
"14th Street, Santa Monica, Los Angeles County, California, 90403, United States of America","(34.0274153, -118.4896011)"
"Wales St, Palmdale, California, 93551","(34.6008400500756, -118.15716992512213)"
"Cambridge Avenue, Ninetynine Oaks, Los Angeles County, California, 91383, United States of America","(34.4547498, -118.6212012)"
"4800 Blackhorse Rd, Rancho Palos Verdes, California, 90275","(33.7795844287635, -118.3635217576973)"
"Santa Maria Avenue, Sparr Heights, Montrose, Glendale, Los Angeles County, California, 91208, United States of America","(34.1897867, -118.2291591)"
"2 S Cedar Ave, Long Beach, California, 90802","(33.765267221153515, -118.19476135980518)"
"East 21st Street, Nevin, Jefferson, LA, Los Angeles County, California, 90011, United States of America","(34.024113, -118.254807)"
"Pomona, California","(34.05499000000003, -117.75003999999996)"
"Loop Trl, Granada Hills, California, 91344","(34.31207443447698, -118.51147745904797)"
"South Walker Avenue, San Pedro, LA, Los Angeles County, California, 90731, United States of America","(33.7283861, -118.3034044)"
"822 Los Angeles Ave, Moorpark, California, 93021","(34.279882006736784, -118.8680246855802)"
"East 15th Street, Ninth Street Junction, Boyle Heights, LA, Los Angeles County, California, 90013, United States of America","(34.0207424, -118.2292271)"
"7th Street, Pacoima, LA, Los Angeles County, California, 91331-2536, United States of America","(34.2857295, -118.4036558)"
"287 Warren Way, Arcadia, California, 91007","(34.10932273609375, -118.04281082989942)"
"Loytan Street, Torrance, Los Angeles County, California, 90505, United States of America","(33.7965786, -118.3407707)"
"Pine Street, San Gabriel, Los Angeles County, California, 91776, United States of America","(34.0994377, -118.0922126)"
"Wolfe St, Lakewood, California, 90713","(33.85783003589969, -118.12085491051937)"
"189 Village Ct, San Dimas, California, 91773","(34.10869006753242, -117.82153760888431)"
"Lafayette Ave, Rosemead, California, 91770","(34.06969876157504, -118.09409991749288)"
"278 Bay View Ave, Wilmington, California, 90744","(33.77258238388579, -118.26966858334079)"
"8 W Cerritos Ave, Glendale, California, 91204","(34.1254608096372, -118.25501911026413)"
"Bear Valley Road, Pomona, Los Angeles County, California, 91766, United States of America","(34.0379206, -117.7737368)"
"E 16th St, Los Angeles, California, 90021","(34.02527648365944, -118.24692504049251)"
"South Main Street, Fashion District, Saint James Park, LA, Los Angeles County, California, 90015, United States of America","(34.0345436, -118.2618203)"
"3424 E 29th St, Long Beach, California, 90807","(33.806552317647075, -118.15141010589893)"
"Ryan, Cerritos, Los Angeles County, California, 90703, United States of America","(33.8573652, -118.0663165)"
"West Central Avenue, Monrovia, Los Angeles County, California, 91016, United States of America","(34.1358857, -118.0011792)"
"West 17th Street, South Park, Saint James Park, LA, Los Angeles County, California, 90015, United States of America","(34.0348913, -118.266762)"
"Western Avenue, Glendale, Los Angeles County, California, 91204, United States of America","(34.1635665, -118.2977316)"
"Tulane Avenue, Los Altos, Long Beach, Los Angeles County, California, 90808, United States of America","(33.8188589, -118.1270955)"
"E O St, Wilmington, California, 90744","(33.79300626371895, -118.24175504221361)"
"Foster Avenue, Baldwin Park, Los Angeles County, California, 91706, United States of America","(34.0753235, -117.9763948)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"West Main Street, San Gabriel, Los Angeles County, California, 91776, United States of America","(34.0963389, -118.1058406)"
"Porter Avenue, Altadena, Los Angeles County, California, 91001, United States of America","(34.1875339, -118.1172738)"
"Otis Street, South Gate, Los Angeles County, California, 90280, United States of America","(33.9573546, -118.1958865)"
"Morena Blvd, San Diego, California, 92117","(32.817173574389756, -117.22132028018943)"
"Commercial Ctr, Beverly Hills, California, 90210","(34.076185965886495, -118.39475408865302)"
"California, Calle 10, La Merced, Hospital, Cantón San José, Provincia de San José, 10103, Costa Rica","(9.93231465, -84.0834991532429)"
"Liberty Street, Echo Park, Angelino Heights, LA, Los Angeles County, California, 90012, United States of America","(34.0816701, -118.2595717)"
"South 6th Street, Alhambra, Los Angeles County, California, 91776, United States of America","(34.0867448, -118.1294811)"
"City Dr, Hawthorne, California, 90250","(33.91580504081948, -118.3766899157207)"
"227 Los Angeles Ave, Moorpark, California, 93021","(34.279019371602615, -118.87841202739477)"
"8 Industry St, Whittier, California, 90601","(34.01347821997276, -118.05581838236664)"
"Pioneer Way, Walnut, Los Angeles County, California, 91789, United States of America","(34.0439303, -117.8608063)"
"Haven Street, Sparr Heights, Montrose, Glendale, Los Angeles County, California, 91208, United States of America","(34.1783999, -118.2233942)"
"Maple Avenue, Skid Row, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America","(34.0453403, -118.2466715)"
"2 Biscayne Ct, San Rafael, California, 94901","(37.99493898078563, -122.45907800386617)"
"17M W M St, Wilmington, California, 90744","(33.78889566556326, -118.26321199626535)"
"New Ave, Rosemead, California, 91770","(34.058925210397305, -118.10809987509069)"
"87 Imperial Ave, Ventura, California, 93004","(34.28382166911064, -119.18771669588249)"
"Mannix Drive, Whitley Heights, LA, Los Angeles County, California, 90046, United States of America","(34.105699, -118.3715972)"
"Halsted St, Northridge, California, 91330","(34.244590054380055, -118.53037968098951)"
"7 Flower St, Arcadia, California, 91006","(34.14430774359645, -118.03076891639192)"
"East Aurora Drive, Walnut, Los Angeles County, California, 91789, United States of America","(34.0221278, -117.8861303)"
"Blueridge Dr, Beverly Hills, California, 90210","(34.09901837080023, -118.42012410161792)"
"Cornwell St, Los Angeles, California, 90033","(34.056700783416844, -118.20437486677213)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"72 Southern Cir, Watsonville, California, 95076","(36.915630472207454, -121.76186366717394)"
"Dorset Pl, Harbor City, California, 90710","(33.813594219962084, -118.30367771290271)"
"2167 Sierra Hwy, Acton, California, 93510","(34.48967023185639, -118.16146868567363)"
"Washington Avenue, Santa Monica, Los Angeles County, California, CA 90404, United States of America","(34.0402746, -118.4787949)"
"9 Los Angeles Ave, Moorpark, California, 93021","(34.279009397129606, -118.88198840682031)"
"Fountain Street, Los Altos, Long Beach, Los Angeles County, California, 90804, United States of America","(33.7835075, -118.1445131)"
"W 176th St, Torrance, California, 90504","(33.87126004552871, -118.33871985206068)"
"Greenleaf Avenue, East Whittier, Whittier, Los Angeles County, California, 90602, United States of America","(33.9830153, -118.0373389)"
"67 Center Ter, San Dimas, California, 91773","(34.100530828785864, -117.82248364783834)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"57 E Haven Ave, Arcadia, California, 91006","(34.1474302167213, -118.02842161068686)"
"7667 State St, Huntington Park, California, 90255","(33.967960812524055, -118.2102920895093)"
"386 N 9th St, Burbank, California, 91501","(34.19112230005076, -118.30294032137651)"
"Telegraph Road, Bandini, East Los Angeles, Winter Gardens, Los Angeles County, California, 90040, United States of America","(34.0107412, -118.1589324)"
"Island Ave, Wilmington, California, 90744","(33.7908224308519, -118.26699824604843)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Nolan Ave, El Monte, California, 91731","(34.07963505903242, -118.0300099160662)"
"State Street, Brooklyn Heights, Boyle Heights, LA, Los Angeles County, California, 90031, United States of America","(34.0523203, -118.2141122)"
"CA-35, La Honda, California, 94020","(37.30085006051203, -122.16191188795916)"
"Chariot Pl, Hacienda Heights, California, 91745","(33.99112231289101, -117.94463457389249)"
"Pinehurst Street, Arbor Oaks, El Monte, Los Angeles County, California, 91732, United States of America","(34.0656399, -118.0063869)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Washington Avenue, Santa Monica, Los Angeles County, California, 90401, United States of America","(34.0218488, -118.5015137)"
"N Main St, Los Angeles, California, 90012","(34.065004540016695, -118.23100422018628)"
"Lewis Road, Agoura Hills, Los Angeles County, California, 91301, United States of America","(34.1467348, -118.7445451)"
"Municipal Dr, Sacramento, California, 95838","(38.653933374963046, -121.45965913689167)"
"E 14th St, Los Angeles, California, 90023","(34.01728004869878, -118.20490996747583)"
"32 Los Angeles Ave, Moorpark, California, 93021","(34.278870717894144, -118.88181141223367)"
"West 4th Street, Park La Brea, Hollywood, LA, Los Angeles County, California, 90048, United States of America","(34.0668523, -118.3462121)"
"6201 Nevada Ave, South Gate, California, 90280","(33.91254755727485, -118.16242669987224)"
"Harlem Pl, Los Angeles, California, 90014","(34.04492585726945, -118.25116807859264)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"88 15th Pl, Long Beach, California, 90802","(33.764029673429754, -118.16893227968208)"
"Worth Street, University Hills, Boyle Heights, LA, Los Angeles County, California, 90063, United States of America","(34.0620944, -118.1826107)"
"59 E N St, Wilmington, California, 90744","(33.79009302310217, -118.26317541002979)"
"Chariot Pl, Hacienda Heights, California, 91745","(33.99112231289101, -117.94463457389249)"
"Main Street, Santa Monica, Los Angeles County, California, CA 90401, United States of America","(34.0119709, -118.4927113)"
"S Frankfurt Ave, West Covina, California, 91792","(34.007354092311296, -117.88236373028684)"
"38 Pleasant Hill Dr, Palos Verdes Peninsula, California, 90274","(33.791613545965355, -118.35875511078783)"
"Tank Farm Road, Camulos, Ventura County, California, 93040, United States of America","(34.425045, -118.738515)"
"87 Sierra Way, Mission Hills, California, 91345","(34.26765113381576, -118.46660567680378)"
"Montgomery Street, Downey, Los Angeles County, California, 90242, United States of America","(33.9287127, -118.146823)"
"Jersey Avenue, Lakewood, Los Angeles County, California, 90715, United States of America","(33.8471899, -118.0859374)"
"Ralph Court, Pomona, Los Angeles County, California, 91766, United States of America","(34.0276185, -117.7442903)"
"Rapid Ct, Sacramento, California, 95841","(38.668440030267675, -121.34264990749892)"
"Main Street, Santa Monica, Los Angeles County, California, CA 90401, United States of America","(34.0119709, -118.4927113)"
"Buchanan St, Los Angeles, California, 90042","(34.11851041818448, -118.20121281121828)"
"Walford Ct, Agoura Hills, California, 91301","(34.15788192855973, -118.78068474543116)"
"703 Seville Ln, Pomona, California, 91767","(34.09591922858701, -117.73555072718864)"
"Mays Street, Lancaster, Los Angeles County, California, 93535, United States of America","(34.7056902, -118.0665169)"
"Congress St, Pasadena, California, 91105","(34.13405329204742, -118.15108998662541)"
"Poway St, Los Angeles, California, 90061","(33.9295423937605, -118.27735034693423)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"California, Avenida 2, Centro Catedral, Catedral, Cantón San José, Provincia de San José, 10104, Costa Rica","(9.9324695, -84.0751134072458)"
"2371 Jerrold Ave, San Francisco, California, 94124","(37.7467743358288, -122.4030393443323)"
"Distribution Way, Cerritos, Los Angeles County, California, 90703, United States of America","(33.8857825, -118.0401218)"
"Kelley Drive, Signal Hill, Los Angeles County, California, 90755, United States of America","(33.7953944, -118.1703449)"
"88 28th Ave, Venice, California, 90291","(33.98122345416198, -118.46712141960697)"
"E Highland Ave, Sierra Madre, California, 91024","(34.16434476824582, -118.04872503306586)"
"5 Tomahawk Ln, Carson, California, 90745","(33.815284019250086, -118.26330598362875)"
"73 Saint Ann Dr, Santa Barbara, California, 93109","(34.408518966665994, -119.72431945373391)"
"CA-18, Llano, California, 93544","(34.49849729785171, -117.69902453377807)"
"1 The Midway, Glendale, California, 91208","(34.170101002869245, -118.22862703270681)"
"2808 Los Angeles Ave, Oxnard, California, 93036","(34.270876714206175, -119.13089793865909)"
"6 Sunrise Ln, San Dimas, California, 91773","(34.10094033921725, -117.82064724685455)"
"Hart Street, Reseda, LA, Los Angeles County, California, 91311, United States of America","(34.1976709, -118.5404308)"
"Santa Rosa Avenue, Normandie Heights, Pasadena, Los Angeles County, California, 91001, United States of America","(34.183894, -118.1389085)"
"Carey St, Pacific Palisades, California, 90272","(34.045628640943164, -118.52037004751651)"
"9 N College Ave, Claremont, California, 91711","(34.09472674552355, -117.7149578124196)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Avenue 2, Sylmar, California, 91342","(34.309175028144, -118.46920990779493)"
"Central Avenue, Arts District, Little Tokyo Historic District, LA, Los Angeles County, California, 90013, United States of America","(34.039027, -118.2399931)"
"51 Los Angeles Ave, Moorpark, California, 93021","(34.279009397129606, -118.88151380847103)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"West College Street, Naud Junction, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America","(34.0628689, -118.2343288)"
"Connecticut Ave, La Mesa, California, 91942","(32.777595661721364, -117.04678497327599)"
"Main Street, Santa Monica, Los Angeles County, California, CA 90401, United States of America","(34.0119709, -118.4927113)"
"Livingston Avenue, Val Verde, Los Angeles County, California, 91383, United States of America","(34.4431569, -118.634336)"
"West 7th Street, Koreatown, Saint James Park, LA, Los Angeles County, California, 90015, United States of America","(34.0597672, -118.2908392)"
"Stratford Avenue, South Pasadena, Los Angeles County, California, 91030, United States of America","(34.1078143, -118.14553)"
"Corkwood Ave, Lancaster, California, 93534","(34.70941004562629, -118.14158490772434)"
"Mount Royal Dr, Los Angeles, California, 90041","(34.13949920350014, -118.20338150932506)"
"W 13th St, San Pedro, California, 90731","(33.73242136648284, -118.2930550946135)"
"Market Street, North Long Beach, Long Beach, Los Angeles County, California, 90805, United States of America","(33.8542782, -118.1960644)"
"437 County Road 83, Canby, California, 96015","(41.44358029706231, -120.87539322982026)"
"Williams Street, Monterey Park, Los Angeles County, California, 91754, United States of America","(34.0577572, -118.1408387)"
"Southern Ln, South Gate, California, 90280","(33.94899838825736, -118.1831867409269)"
"South Broadway, Jefferson, LA, Los Angeles County, California, 90037, United States of America","(33.9527096, -118.2781221)"
"Main Street, Santa Monica, Los Angeles County, California, CA 90401, United States of America","(34.0119709, -118.4927113)"
"812 De Haven St, San Fernando, California, 91340","(34.28863202517403, -118.4291969618162)"
"Carroll Ave, Los Angeles, California, 90026","(34.0697056111325, -118.25507638683307)"
"N Main St, Los Angeles, California, 90012","(34.065004540016695, -118.23100422018628)"
"CA-67 N, El Cajon, California, 92021","(32.813302672623415, -116.96168653286865)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"9851 Los Angeles Ave, Moorpark, California, 93021","(34.27902759799486, -118.89429828280117)"
"Grand Avenue, New Chinatown, Bunker Hill, LA, Los Angeles County, California, 90012, United States of America","(34.0607987, -118.2435978)"
"Lighthouse Mall, Marina Del Rey, California, 90292","(33.973935048083746, -118.45921490735337)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"2853 S Central Ave, Los Angeles, California, 90011","(34.01599535364111, -118.25615681237923)"
"Hawthorne Boulevard, Inglewood, Los Angeles County, California, 90045, United States of America","(33.9442472, -118.3527316)"
"Beverly Drive, Walnut, Los Angeles County, California, 91789, United States of America","(34.019298, -117.8820005)"
"130, Los Ángeles, Sabanilla, Cantón Alajuela, Provincia Alajuela, 20107, Costa Rica","(10.0793398, -84.2276497)"
"San Mateo Avenue, Palmdale, Los Angeles County, California, 93550, United States of America","(34.575792, -118.1344767)"
"South Main Street, Fashion District, Saint James Park, LA, Los Angeles County, California, 90015, United States of America","(34.0345436, -118.2618203)"
"Vanowen Street, West Hills, LA, Los Angeles County, California, 91307, United States of America","(34.1940561, -118.6506658)"
"31 Douglas Aly, Pasadena, California, 91103","(34.14592953688662, -118.15114004405102)"
"4231 1/2, Monroe Street, Silver Lake, Little Armenia, LA, Los Angeles County, California, 90029, United States of America","(34.0857629, -118.2903503)"
"E Truman Pl, West Covina, California, 91790","(34.05577004144702, -117.92221994042501)"
"Fairlawn Way, Pasadena, California, 91105","(34.156109845763275, -118.17845919194589)"
"598 Los Angeles Ave, Moorpark, California, 93021","(34.27888069235071, -118.8896443180284)"
"Heights Dr, Palmdale, California, 93551","(34.62897734214685, -118.23409573179285)"
"Seco Ct, Rowland Heights, California, 91748","(33.97857005194694, -117.92598492369335)"
"39 Moccasin Ln, Palos Verdes Peninsula, California, 90274","(33.789211019775465, -118.35427603607731)"
